RAF,n,p,nodes,edges,SCC,WC,diameter,Bet_Centrality,coloring
0,2,0.007007007007007007,14,26,1,1,10,0.23168498168498167,2
0,2,0.008008008008008008,14,28,1,1,10,0.19688644688644685,2
0,2,0.009009009009009009,14,24,1,1,10,0.239010989010989,2
0,2,0.01001001001001001,14,24,1,1,10,0.239010989010989,2
0,2,0.011011011011011011,14,24,1,1,10,0.239010989010989,2
0,2,0.012012012012012012,14,24,1,1,10,0.239010989010989,2
0,2,0.013013013013013013,14,24,1,1,10,0.239010989010989,2
1,2,0.014014014014014014,14,26,1,1,10,0.22893772893772893,2
0,2,0.015015015015015015,14,24,1,1,10,0.239010989010989,2
1,2,0.016016016016016016,14,26,1,1,10,0.21794871794871792,2
0,2,0.017017017017017015,14,26,1,1,10,0.21703296703296698,2
1,2,0.018018018018018018,14,26,1,1,10,0.21794871794871792,2
1,2,0.01901901901901902,14,26,1,1,10,0.23809523809523808,2
0,2,0.02002002002002002,14,28,1,1,10,0.20787545787545783,2
0,2,0.02102102102102102,14,26,1,1,10,0.20970695970695977,2
1,2,0.022022022022022022,14,30,1,1,10,0.206043956043956,3
1,2,0.023023023023023025,14,30,1,1,8,0.1794871794871795,2
0,2,0.024024024024024024,14,24,1,1,10,0.239010989010989,2
1,2,0.025025025025025023,14,28,1,1,10,0.2161172161172161,2
0,2,0.026026026026026026,14,24,1,1,10,0.239010989010989,2
1,2,0.02702702702702703,14,28,1,1,10,0.20879120879120885,2
0,2,0.028028028028028028,14,24,1,1,10,0.239010989010989,2
1,2,0.029029029029029027,14,30,1,1,10,0.19688644688644688,3
0,2,0.03003003003003003,14,24,1,1,10,0.239010989010989,2
1,2,0.031031031031031032,14,26,1,1,10,0.21794871794871792,2
0,2,0.03203203203203203,14,30,1,1,10,0.18589743589743588,2
1,2,0.03303303303303303,14,28,1,1,9,0.19963369963369965,2
1,2,0.03403403403403403,14,26,1,1,10,0.21794871794871792,2
0,2,0.035035035035035036,14,26,1,1,10,0.217032967032967,2
0,2,0.036036036036036036,14,24,1,1,10,0.239010989010989,2
1,2,0.037037037037037035,14,34,1,1,6,0.14835164835164832,2
1,2,0.03803803803803804,14,34,1,1,8,0.17673992673992672,3
0,2,0.03903903903903904,14,28,1,1,7,0.18223443223443223,2
0,2,0.04004004004004004,14,24,1,1,10,0.239010989010989,2
1,2,0.04104104104104104,14,28,1,1,10,0.22802197802197802,2
0,2,0.04204204204204204,14,24,1,1,10,0.239010989010989,2
0,2,0.043043043043043044,14,26,1,1,10,0.217032967032967,2
0,2,0.044044044044044044,14,24,1,1,10,0.239010989010989,2
1,2,0.04504504504504504,14,26,1,1,10,0.21794871794871792,2
1,2,0.04604604604604605,14,32,1,1,9,0.1968864468864469,2
0,2,0.04704704704704705,14,28,1,1,10,0.19688644688644688,2
1,2,0.04804804804804805,14,30,1,1,9,0.20695970695970692,3
1,2,0.04904904904904905,14,28,1,1,9,0.20787545787545786,2
1,2,0.050050050050050046,14,28,1,1,8,0.19413919413919412,2
1,2,0.05105105105105105,14,28,1,1,10,0.21611721611721607,2
1,2,0.05205205205205205,14,26,1,1,10,0.21794871794871792,2
1,2,0.05305305305305305,14,30,1,1,8,0.19139194139194138,3
1,2,0.05405405405405406,14,30,1,1,10,0.2078754578754579,3
0,2,0.055055055055055056,14,26,1,1,10,0.23168498168498167,2
1,2,0.056056056056056056,14,32,1,1,10,0.20512820512820515,2
0,2,0.057057057057057055,14,26,1,1,10,0.217032967032967,2
0,2,0.058058058058058054,14,30,1,1,8,0.1749084249084249,3
1,2,0.05905905905905906,14,28,1,1,10,0.20787545787545786,2
1,2,0.06006006006006006,14,34,1,1,8,0.18956043956043958,3
1,2,0.06106106106106106,14,30,1,1,8,0.18223443223443223,3
1,2,0.062062062062062065,14,38,1,1,7,0.15750915750915753,3
0,2,0.06306306306306306,14,34,1,1,10,0.18315018315018314,3
1,2,0.06406406406406406,14,26,1,1,10,0.23809523809523808,2
1,2,0.06506506506506507,14,30,1,1,6,0.17399267399267396,3
1,2,0.06606606606606606,14,26,1,1,10,0.23809523809523808,2
1,2,0.06706706706706707,14,30,1,1,8,0.18498168498168496,3
1,2,0.06806806806806806,14,32,1,1,10,0.20421245421245418,3
1,2,0.06906906906906907,14,26,1,1,10,0.21794871794871792,2
1,2,0.07007007007007007,14,30,1,1,8,0.19047619047619044,3
1,2,0.07107107107107107,14,28,1,1,10,0.217032967032967,2
1,2,0.07207207207207207,14,32,1,1,9,0.20146520146520144,3
